Time,Channel B
(ms),(mV)

-0.76492571,132.16040000
-0.76460571,127.67420000
-0.76428571,127.67420000
-0.76396571,132.16040000
-0.76364571,127.67420000
-0.76332571,127.67420000
-0.76300571,127.67420000
-0.76268571,127.67420000
-0.76236571,127.67420000
-0.76204571,127.67420000
-0.76172571,127.67420000
-0.76140571,127.67420000
-0.76108571,127.67420000
-0.76076571,127.67420000
-0.76044571,127.67420000
-0.76012571,127.67420000
-0.75980571,127.67420000
-0.75948571,127.67420000
-0.75916571,127.67420000
-0.75884571,127.67420000
-0.75852571,127.67420000
-0.75820571,123.20320000
-0.75788571,127.67420000
-0.75756571,123.20320000
-0.75724571,123.20320000
-0.75692571,127.67420000
-0.75660571,127.67420000
-0.75628571,123.20320000
-0.75596571,123.20320000
-0.75564571,123.20320000
-0.75532571,123.20320000
-0.75500571,123.20320000
-0.75468571,123.20320000
-0.75436571,123.20320000
-0.75404571,123.20320000
-0.75372571,123.20320000
-0.75340571,123.20320000
-0.75308571,123.20320000
-0.75276571,123.20320000
-0.75244571,123.20320000
-0.75212571,123.20320000
-0.75180571,123.20320000
-0.75148571,123.20320000
-0.75116571,118.73230000
-0.75084571,118.73230000
-0.75052571,123.20320000
-0.75020571,123.20320000
-0.74988571,118.73230000
-0.74956571,118.73230000
-0.74924571,118.73230000
-0.74892571,118.73230000
-0.74860571,118.73230000
-0.74828571,118.73230000
-0.74796571,118.73230000
-0.74764571,118.73230000
-0.74732571,118.73230000
-0.74700571,114.24600000
-0.74668571,118.73230000
-0.74636571,114.24600000
-0.74604571,118.73230000
-0.74572571,118.73230000
-0.74540571,118.73230000
-0.74508571,118.73230000
-0.74476571,118.73230000
-0.74444571,114.24600000
-0.74412571,114.24600000
-0.74380571,114.24600000
-0.74348571,114.24600000
-0.74316571,114.24600000
-0.74284571,118.73230000
-0.74252571,114.24600000
-0.74220571,114.24600000
-0.74188571,114.24600000
-0.74156571,114.24600000
-0.74124571,114.24600000
-0.74092571,114.24600000
-0.74060571,114.24600000
-0.74028571,114.24600000
-0.73996571,114.24600000
-0.73964571,114.24600000
-0.73932571,114.24600000
-0.73900571,114.24600000
-0.73868571,114.24600000
-0.73836571,109.77510000
-0.73804571,114.24600000
-0.73772571,109.77510000
-0.73740571,114.24600000
-0.73708571,109.77510000
-0.73676571,109.77510000
-0.73644571,109.77510000
-0.73612571,109.77510000
-0.73580571,109.77510000
-0.73548571,109.77510000
-0.73516571,109.77510000
-0.73484571,109.77510000
-0.73452571,114.24600000
-0.73420571,109.77510000
-0.73388571,109.77510000
-0.73356571,109.77510000
-0.73324571,109.77510000
-0.73292571,109.77510000
-0.73260571,109.77510000
-0.73228571,109.77510000
-0.73196571,109.77510000
-0.73164571,109.77510000
-0.73132571,109.77510000
-0.73100571,105.28880000
-0.73068571,105.28880000
-0.73036571,105.28880000
-0.73004571,105.28880000
-0.72972571,109.77510000
-0.72940571,105.28880000
-0.72908571,105.28880000
-0.72876571,105.28880000
-0.72844571,105.28880000
-0.72812571,105.28880000
-0.72780571,105.28880000
-0.72748571,105.28880000
-0.72716571,105.28880000
-0.72684571,105.28880000
-0.72652571,105.28880000
-0.72620571,105.28880000
-0.72588571,105.28880000
-0.72556571,105.28880000
-0.72524571,105.28880000
-0.72492571,105.28880000
-0.72460571,105.28880000
-0.72428571,105.28880000
-0.72396571,105.28880000
-0.72364571,105.28880000
-0.72332571,105.28880000
-0.72300571,100.81790000
-0.72268571,105.28880000
-0.72236571,105.28880000
-0.72204571,100.81790000
-0.72172571,105.28880000
-0.72140571,105.28880000
-0.72108571,105.28880000
-0.72076571,100.81790000
-0.72044571,100.81790000
-0.72012571,100.81790000
-0.71980571,100.81790000
-0.71948571,100.81790000
-0.71916571,100.81790000
-0.71884571,100.81790000
-0.71852571,100.81790000
-0.71820571,100.81790000
-0.71788571,100.81790000
-0.71756571,100.81790000
-0.71724571,100.81790000
-0.71692571,96.34693000
-0.71660571,100.81790000
-0.71628571,100.81790000
-0.71596571,96.34693000
-0.71564571,100.81790000
-0.71532571,96.34693000
-0.71500571,96.34693000
-0.71468571,96.34693000
-0.71436571,96.34693000
-0.71404571,96.34693000
-0.71372571,96.34693000
-0.71340571,96.34693000
-0.71308571,96.34693000
-0.71276571,96.34693000
-0.71244571,96.34693000
-0.71212571,96.34693000
-0.71180571,96.34693000
-0.71148571,96.34693000
-0.71116571,96.34693000
-0.71084571,96.34693000
-0.71052571,96.34693000
-0.71020571,96.34693000
-0.70988571,96.34693000
-0.70956571,96.34693000
-0.70924571,96.34693000
-0.70892571,96.34693000
-0.70860571,96.34693000
-0.70828571,96.34693000
-0.70796571,96.34693000
-0.70764571,96.34693000
-0.70732571,96.34693000
-0.70700571,91.86070000
-0.70668571,96.34693000
-0.70636571,91.86070000
-0.70604571,91.86070000
-0.70572571,96.34693000
-0.70540571,91.86070000
-0.70508571,91.86070000
-0.70476571,91.86070000
-0.70444571,91.86070000
-0.70412571,91.86070000
-0.70380571,91.86070000
-0.70348571,91.86070000
-0.70316571,91.86070000
-0.70284571,91.86070000
-0.70252571,91.86070000
-0.70220571,91.86070000
-0.70188571,91.86070000
-0.70156571,91.86070000
-0.70124571,91.86070000
-0.70092571,91.86070000
-0.70060571,91.86070000
-0.70028571,91.86070000
-0.69996571,91.86070000
-0.69964571,91.86070000
-0.69932571,87.38975000
-0.69900571,91.86070000
-0.69868571,91.86070000
-0.69836571,87.38975000
-0.69804571,87.38975000
-0.69772571,87.38975000
-0.69740571,87.38975000
-0.69708571,91.86070000
-0.69676571,87.38975000
-0.69644571,87.38975000
-0.69612571,91.86070000
-0.69580571,87.38975000
-0.69548571,87.38975000
-0.69516571,87.38975000
-0.69484571,87.38975000
-0.69452571,87.38975000
-0.69420571,87.38975000
-0.69388571,87.38975000
-0.69356571,87.38975000
-0.69324571,87.38975000
-0.69292571,87.38975000
-0.69260571,87.38975000
-0.69228571,87.38975000
-0.69196571,87.38975000
-0.69164571,87.38975000
-0.69132571,87.38975000
-0.69100571,87.38975000
-0.69068571,87.38975000
