Time,Channel A,Channel B
(ms),(mV),(V)

5.00162414,17.82281000,0.93252350
5.00418414,49.01273000,0.98629720
5.00674414,71.27598000,1.00424200
5.00930414,102.46590000,1.00424200
5.01186414,124.72910000,1.00424200
5.01442414,142.55200000,1.00424200
5.01698414,160.35950000,1.00424200
5.01954414,178.18230000,1.00424200
5.02210414,191.54940000,1.00424200
5.02466414,200.44560000,1.00424200
5.02722414,218.26840000,1.00424200
5.02978414,227.17980000,1.00424200
5.03234414,240.54690000,1.00424200
5.03490414,245.00260000,1.00424200
5.03746414,253.89870000,1.00424200
5.04002414,262.81010000,1.00424200
5.04258414,262.81010000,1.00424200
5.04514414,271.72150000,1.00424200
5.04770414,276.17720000,1.00424200
5.05026414,285.08870000,1.00424200
5.05282414,285.08870000,1.00424200
5.05538414,294.00000000,1.00424200
5.05794414,289.54430000,1.00424200
5.06050414,289.54430000,1.00424200
5.06306414,298.44050000,1.00424200
5.06562414,294.00000000,1.00424200
5.06818414,298.44050000,1.00424200
5.07074414,298.44050000,1.00424200
5.07330414,302.89620000,1.00424200
5.07586414,298.44050000,1.00424200
5.07842414,302.89620000,1.00424200
5.08098414,302.89620000,1.00424200
5.08354414,298.44050000,1.00424200
5.08610414,302.89620000,1.00424200
5.08866414,302.89620000,1.00424200
5.09122414,302.89620000,1.00424200
5.09378414,294.00000000,1.00424200
5.09634414,298.44050000,1.00424200
5.09890414,298.44050000,1.00424200
5.10146414,298.44050000,1.00424200
5.10402414,294.00000000,1.00424200
5.10658414,294.00000000,1.00424200
5.10914414,298.44050000,1.00424200
5.11170414,289.54430000,1.00424200
5.11426414,289.54430000,1.00424200
5.11682414,289.54430000,1.00424200
5.11938414,289.54430000,1.00424200
5.12194414,285.08870000,1.00424200
5.12450414,289.54430000,1.00424200
5.12706414,289.54430000,1.00424200
5.12962414,280.63290000,1.00424200
5.13218414,285.08870000,1.00424200
5.13474414,280.63290000,1.00424200
5.13730414,285.08870000,1.00424200
5.13986414,280.63290000,1.00424200
5.14242414,280.63290000,1.00424200
5.14498414,280.63290000,1.00424200
5.14754414,276.17720000,1.00424200
5.15010414,276.17720000,1.00424200
5.15266414,276.17720000,1.00424200
5.15522414,276.17720000,1.00424200
5.15778414,271.72150000,1.00424200
5.16034414,276.17720000,1.00424200
5.16290414,267.26580000,1.00424200
5.16546414,267.26580000,1.00424200
5.16802414,267.26580000,1.00424200
5.17058414,262.81010000,1.00424200
5.17314414,267.26580000,1.00424200
5.17570414,267.26580000,1.00424200
5.17826414,267.26580000,1.00424200
5.18082414,258.35440000,1.00424200
5.18338414,262.81010000,1.00424200
5.18594414,262.81010000,1.00424200
5.18850414,262.81010000,1.00424200
5.19106414,262.81010000,1.00424200
5.19362414,262.81010000,0.98629720
5.19618414,262.81010000,1.00424200
5.19874414,253.89870000,1.00424200
5.20130414,253.89870000,1.00424200
5.20386414,253.89870000,1.00424200
5.20642414,253.89870000,1.00424200
5.20898414,249.44300000,1.00424200
5.21154414,253.89870000,1.00424200
5.21410414,249.44300000,1.00424200
5.21666414,245.00260000,1.00424200
5.21922414,245.00260000,1.00424200
5.22178414,245.00260000,1.00424200
5.22434414,249.44300000,1.00424200
5.22690414,245.00260000,1.02212600
5.22946414,245.00260000,1.00424200
5.23202414,240.54690000,1.00424200
5.23458414,236.09120000,1.00424200
5.23714414,236.09120000,1.00424200
5.23970414,236.09120000,1.00424200
5.24226414,240.54690000,1.00424200
5.24482414,236.09120000,1.00424200
5.24738414,236.09120000,1.00424200
5.24994414,236.09120000,1.00424200
5.25250414,231.63550000,1.00424200
5.25506414,227.17980000,1.00424200
5.25762414,227.17980000,1.00424200
5.26018414,231.63550000,0.98629720
5.26274414,227.17980000,1.00424200
5.26530414,227.17980000,1.00424200
5.26786414,227.17980000,1.00424200
5.27042414,227.17980000,1.00424200
5.27298414,218.26840000,1.00424200
5.27554414,222.72410000,1.00424200
5.27810414,218.26840000,1.00424200
5.28066414,218.26840000,1.00424200
5.28322414,218.26840000,1.00424200
5.28578414,213.81270000,1.00424200
5.28834414,213.81270000,1.00424200
